obligation_key,vendor_id,vendor_name,period,split,scenario,root_cause,outreach_target,outreach_fact,notes,classification,method,verifier,outcome,invoice_status_at_cutoff,needs_estimate,approval_required,true_expense,static_rules_estimate,trailing_avg_estimate,static_error,actual_invoice_ids,actual_invoice_total,invoice_received_dates
OBL-V008-2026-12,V008,OfficeNest Properties,2026-12,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,22500.0,22500.0,22500.0,0.0,INV-V008-008,22500.0,2026-11-25
OBL-V008-2027-01,V008,OfficeNest Properties,2027-01,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,22500.0,22500.0,22500.0,0.0,INV-V008-009,22500.0,2026-12-25
OBL-V009-2026-11,V009,PayCircle Inc.,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,4150.0,4150.0,4150.0,0.0,INV-V009-007,4150.0,2026-12-02
OBL-V009-2026-12,V009,PayCircle Inc.,2026-12,STANDARD,INVOICE_MISMATCH,,REQUESTER,SCOPE_OR_RATE_CHANGE,"Invoice $4,980 includes an $830 module nobody ordered; credit memo arrives Jan 20.",INVOICE_MISMATCHED,ACTUAL_INVOICE,BLOCK,ESCALATED,RECEIVED,N,NONE,4150.0,4150.0,4150.0,0.0,INV-V009-008,4980.0,2027-01-02
OBL-V009-2027-01,V009,PayCircle Inc.,2027-01,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,4150.0,4150.0,4150.0,0.0,INV-V009-009,4150.0,2027-02-02
OBL-V010-2026-11,V010,SecureLayer Systems,2026-11,STANDARD,PREPAID_NOT_AN_ACCRUAL,,,,Annual invoice already booked to prepaid; a run-rate estimator would wrongly accrue.,NO_ACCRUAL_PREPAID,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,0.0,0.0,INV-V010-001,96000.0,2026-08-03
OBL-V010-2026-12,V010,SecureLayer Systems,2026-12,STANDARD,PREPAID_NOT_AN_ACCRUAL,,,,Annual invoice already booked to prepaid; a run-rate estimator would wrongly accrue.,NO_ACCRUAL_PREPAID,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,0.0,0.0,INV-V010-001,96000.0,2026-08-03
OBL-V010-2027-01,V010,SecureLayer Systems,2027-01,STANDARD,PREPAID_NOT_AN_ACCRUAL,,,,Annual invoice already booked to prepaid; a run-rate estimator would wrongly accrue.,NO_ACCRUAL_PREPAID,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,0.0,0.0,INV-V010-001,96000.0,2026-08-03
OBL-V011-2026-11,V011,TalentBridge Partners,2026-11,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,30000.0,30000.0,10333.33,0.0,INV-V011-003,30000.0,2026-12-14
OBL-V011-2026-12,V011,TalentBridge Partners,2026-12,STANDARD,SERVICE_NOT_RECEIVED,,,,,NO_INVOICE_SERVICE_NOT_RECEIVED,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,20333.33,0.0,,0.0,
OBL-V011-2027-01,V011,TalentBridge Partners,2027-01,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,28000.0,28000.0,20333.33,0.0,INV-V011-004,28000.0,2027-02-08
OBL-V012-2026-11,V012,PrintWorks Studio,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,7850.0,7850.0,2316.67,0.0,INV-V012-003,7850.0,2026-12-01
OBL-V012-2026-12,V012,PrintWorks Studio,2026-12,STANDARD,SERVICE_NOT_RECEIVED,,,,,NO_INVOICE_SERVICE_NOT_RECEIVED,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,4933.33,0.0,,0.0,
OBL-V012-2027-01,V012,PrintWorks Studio,2027-01,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,PO_BASED,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,3200.0,3200.0,2616.67,0.0,INV-V012-005,3200.0,2027-02-06
OBL-V013-2026-11,V013,StreamGrid Networks,2026-11,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,8000.0,8000.0,8000.0,0.0,INV-V013-007,8000.0,2026-12-09
OBL-V013-2026-12,V013,StreamGrid Networks,2026-12,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,8000.0,8000.0,8000.0,0.0,INV-V013-008,8000.0,2027-01-09
OBL-V013-2027-01,V013,StreamGrid Networks,2027-01,HELDOUT,TIERED_OVERAGE_HELDOUT,TIERED_OVERAGE_RATE,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,REVIEWER,11600.0,10400.0,8000.0,-1200.0,INV-V013-009,11600.0,2027-02-09
OBL-V014-2026-11,V014,Atlas Facilities Services,2026-11,STANDARD,QUARTERLY_ARREARS,,,,One invoice for Nov-Jan arrives Feb 8 and must match three obligations.,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,4500.0,4500.0,4500.0,0.0,INV-V014-003,13500.0,2027-02-08
OBL-V014-2026-12,V014,Atlas Facilities Services,2026-12,STANDARD,QUARTERLY_ARREARS,,,,One invoice for Nov-Jan arrives Feb 8 and must match three obligations.,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,4500.0,4500.0,4500.0,0.0,INV-V014-003,13500.0,2027-02-08
OBL-V014-2027-01,V014,Atlas Facilities Services,2027-01,STANDARD,QUARTERLY_ARREARS,,,,One invoice for Nov-Jan arrives Feb 8 and must match three obligations.,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,PASS,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,4500.0,4500.0,4500.0,0.0,INV-V014-003,13500.0,2027-02-08
OBL-V015-2026-12,V015,Quantive BI Ltd.,2026-12,STANDARD,MULTI_PERIOD_INVOICE,,,,"$9,300 covers Dec 15-Jan 14: 17/31 days to Dec, rest is prepaid.",INVOICE_SPANS_PERIODS,PRORATED_FEE,PASS,CLOSE_READY,RECEIVED,N,NONE,5100.0,5100.0,0.0,0.0,INV-V015-001,9300.0,2026-12-16
OBL-V015-2027-01,V015,Quantive BI Ltd.,2027-01,STANDARD,MULTI_PERIOD_INVOICE,,,,"Jan = 14 days of first invoice ($4,200) + 17 days of second ($5,100).",INVOICE_SPANS_PERIODS,PRORATED_FEE,PASS,CLOSE_READY,RECEIVED,N,NONE,9300.0,9300.0,1700.0,0.0,INV-V015-001;INV-V015-002,18600.0,2026-12-16;2027-01-16
OBL-V016-2026-11,V016,Northwind Telecom,2026-11,STANDARD,VENDOR_OUTREACH_FINDS_INVOICE,,VENDOR_BILLING,INVOICE_WHEREABOUTS,"Invoice went to a retired AP mailbox; vendor re-sends it, so book actual not estimate.",NO_INVOICE_SERVICE_RECEIVED,HISTORICAL_RUN_RATE,OUTREACH_REQUIRED,CLOSE_READY,MISSING,Y,NONE,5480.0,5470.0,5470.0,-10.0,INV-V016-007,5480.0,2026-12-09
OBL-V016-2026-12,V016,Northwind Telecom,2026-12,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,5515.0,5515.0,5456.67,0.0,INV-V016-008,5515.0,2027-01-02
OBL-V016-2027-01,V016,Northwind Telecom,2027-01,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,5440.0,5440.0,5475.0,0.0,INV-V016-009,5440.0,2027-02-02
OBL-V017-2026-11,V017,Thames Workspace Ltd,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,6900.0,6900.0,6900.0,0.0,INV-V017-007,6900.0,2026-12-02
OBL-V017-2026-12,V017,Thames Workspace Ltd,2026-12,STANDARD,ENTITY_MISMATCH,,AP_SPECIALIST,AP_STATUS,Invoice billed to and coded as NS-US; contract and service are NS-UK.,INVOICE_MISMATCHED,ACTUAL_INVOICE,BLOCK,ESCALATED,RECEIVED,N,NONE,6900.0,6900.0,6900.0,0.0,INV-V017-008,6900.0,2027-01-02
OBL-V017-2027-01,V017,Thames Workspace Ltd,2027-01,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,6900.0,6900.0,6900.0,0.0,INV-V017-009,6900.0,2027-02-02
